Ac_no  ,client, Open_date , First_name, middle_name, Last_name, ssn      , Addl_1      , Addl_2   , City        , State, Zipcode, record_type, match_code, match_score, consumer_id, consumer_type, notification_no, notice_type, case_no , chapter, original chapter, date_filed, conversion_date, status, Status_date, PD_ssn   , PD_First_Name, PD_middle_Name, PD_lastt_Name, PD_suffix, PD_AKA, PD_AKA2, PD_DBA, PD_DBA2, PD_Addl_1      , PD_Addl_2, PD_City        , PD_State, PD_Zipcode, PD_phone, SD_ssn, SD_First_Name, SD_middle_Name, SD_lastt_Name, SD_suffix, SD_AKA, SD_AKA2, SD_DBA, SD_DBA2, SD_Addl_1, SD_Addl_2, SD_City, SD_State, SD_Zipcode, SD_phone, Judge_name        , prose_indicator, Attorny_ssn, Attorny_First_Name, Attorny_middle_Name, Attorny_lastt_Name, Attorny_suffix, Attorny_AKA, Attorny_AKA2, Attorny_DBA, Attorny_DBA2, Attorny_Addl_1, Attorny_Addl_2, Attorny_City, Attorny_State, Attorny_Zipcode, Attorny_phone,creditor_meeting_date,creditor_meeting_time,creditor_Addl_1,creditor_Addl_2,creditor_City     ,creditor_State,creditor_Zipcode,creditor_phone, trustee_name, Trustee_Addl_1 , Trustee_Addl_2, Trustee_City, Trustee_State, Trustee_Zipcode, Trustee_phone, Court_id, court_district  , Court_Addl_1, Court_Addl_2, Court_City, Court_State, Court_Zipcode, Court_phone, confirmation_date, Asset_indicator, Before_open, SASF    , Active_Status, Disposition_text, POC_bar_date, 
1000011,GECOM,2012-03-09,Jane,S,Miller,713028762,5100 Main St,Apt 395,Dallas,WA,86654,New,M1,84,CID-347276,SME,NOTIF-1011,Bankruptcy,25-99754,7,13,2023-03-24,,Closed,2024-10-31,682796366,Jane,T,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,199741208,William,K,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-07-20,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2021-07-20,
1000012,VP,2017-10-28,Linda,L,Davis,454248637,2731 Main St,Apt 82,Phoenix,AZ,52116,Update,M1,93,CID-164976,Corporate,NOTIF-1012,Bankruptcy,22-98894,11,13,2021-11-01,,Pending,2022-09-09,494729549,John,L,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,464107090,Robert,S,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-12-06,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2023-12-06,
1000013,DM,2020-05-04,Jane,M,Taylor,151095109,4412 Main St,Apt 833,Dallas,NY,81396,Existing,M1,85,CID-893648,SME,NOTIF-1013,Bankruptcy,23-36479,11,11,2024-08-25,,Pending,2021-06-22,680455946,Richard,J,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,542367381,John,A,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-12-20,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2022-12-20,
1000014,FD,2020-05-13,John,K,Miller,624525510,8784 Main St,Suite 600,New York,WA,96476,Existing,M1,89,CID-664872,SME,NOTIF-1014,Bankruptcy,20-66603,11,13,2023-04-10,,Closed,2021-04-30,935019946,Robert,T,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,974751853,Michael,E,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-07-28,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2024-07-28,
1000015,GECOM,2012-08-15,Jennifer,J,Thomas,918879815,3286 Main St,Apt 384,San Jose,CA,36789,New,M1,85,CID-936600,SME,NOTIF-1015,Bankruptcy,20-89247,13,11,2024-03-20,,Pending,2023-07-13,187260507,Michael,J,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,110698789,William,K,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-04-28,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2021-04-28,
1000016,VP,2020-03-01,Patricia,E,Anderson,547994372,1464 Main St,Apt 85,Los Angeles,IL,10243,Update,M1,89,CID-782603,SME,NOTIF-1016,Bankruptcy,24-67817,11,11,2020-03-07,,Pending,2023-07-30,342208700,Jane,K,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,464626367,Linda,R,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-07-14,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2022-07-14,
1000017,DM,2010-01-21,Robert,T,Smith,263784232,8574 Main St,Apt 225,Dallas,CA,65572,Existing,M1,86,CID-333608,Corporate,NOTIF-1017,Bankruptcy,24-77392,13,7,2020-10-04,,Closed,2020-03-10,887326353,Jane,L,Smith,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,950866500,Patricia,E,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-10-03,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2020-10-03,
1000018,FD,2017-05-22,Patricia,R,Anderson,837475742,4766 Main St,Apt 707,San Jose,AZ,64878,Update,M1,81,CID-812313,Individual,NOTIF-1018,Bankruptcy,20-98832,11,13,2020-09-24,,Pending,2024-12-22,218602285,Michael,J,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,161381375,Linda,T,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-01-23,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2022-01-23,
1000019,GECOM,2013-03-05,Jane,T,Anderson,933416816,7480 Main St,Apt 312,Phoenix,WA,90311,Update,M1,88,CID-111433,SME,NOTIF-1019,Bankruptcy,21-63748,11,13,2023-11-25,,Active,2021-08-19,775517139,Linda,K,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,909161703,Richard,M,Taylor,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2025-04-27,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2025-04-27,
1000020,VP,2020-07-28,Michael,L,Davis,775893778,3818 Main St,Apt 438,New York,PA,65482,Existing,M1,88,CID-271969,Individual,NOTIF-1020,Bankruptcy,22-89220,11,7,2021-05-18,,Active,2022-03-23,637413940,Jane,J,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,298411332,William,E,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-06-28,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2020-06-28,
1000021,DM,2022-02-01,Robert,S,Miller,538326077,7032 Main St,Suite 545,San Diego,PA,96015,Existing,M1,98,CID-873061,Corporate,NOTIF-1021,Bankruptcy,24-48925,11,7,2023-05-04,,Closed,2023-06-16,607313278,William,E,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,885165624,Michael,P,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-06-10,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2024-06-10,
1000022,FD,2020-12-10,Richard,M,Thomas,973526502,6817 Main St,Suite 501,Dallas,FL,44446,Existing,M1,82,CID-716228,Corporate,NOTIF-1022,Bankruptcy,23-80806,11,13,2023-09-04,,Pending,2022-05-11,629346273,Jane,E,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,374849068,Mary,T,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-12-26,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2022-12-26,
1000023,GECOM,2019-10-28,Mary,T,Taylor,203349221,7552 Main St,Suite 900,Chicago,NY,58291,Update,M1,86,CID-188096,Individual,NOTIF-1023,Bankruptcy,20-85248,13,13,2022-04-28,,Active,2023-04-06,781033977,Mary,A,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,588531792,Jane,E,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-12-17,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2023-12-17,
1000024,VP,2010-12-01,Mary,E,Thomas,163106445,7144 Main St,Apt 77,San Diego,AZ,74372,Existing,M1,96,CID-733577,Corporate,NOTIF-1024,Bankruptcy,25-78401,13,11,2024-11-25,,Closed,2023-06-21,921073679,Patricia,M,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,290979726,Mary,S,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2025-03-14,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2025-03-14,
1000025,DM,2018-10-19,Jane,A,Miller,315384977,2991 Main St,Apt 229,New York,IL,18017,Existing,M1,88,CID-798204,SME,NOTIF-1025,Bankruptcy,20-33791,13,13,2024-01-13,,Closed,2020-01-02,670049471,Mary,E,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,141312414,Linda,P,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-11-15,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2023-11-15,
1000026,FD,2011-04-10,Michael,S,Brown,655724211,1833 Main St,Suite 486,Philadelphia,TX,74962,Update,M1,91,CID-214932,SME,NOTIF-1026,Bankruptcy,25-55647,13,13,2024-11-18,,Closed,2023-11-11,752219338,Linda,L,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,106577132,Jennifer,A,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-04-02,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2020-04-02,
1000027,GECOM,2020-03-20,Linda,J,Smith,447097688,9695 Main St,Suite 609,Chicago,PA,49291,New,M1,88,CID-503170,Individual,NOTIF-1027,Bankruptcy,25-55410,13,13,2021-01-22,,Pending,2021-12-07,129569034,William,A,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,868010385,Michael,R,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-11-12,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2022-11-12,
1000028,VP,2011-02-13,Patricia,A,Thomas,536703361,7266 Main St,Apt 945,San Jose,NY,27519,Existing,M1,94,CID-937802,Individual,NOTIF-1028,Bankruptcy,22-82490,13,7,2020-10-10,,Pending,2020-10-10,108523717,John,K,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,674502785,Michael,K,Garcia,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-10-20,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2020-10-20,
1000029,DM,2011-03-26,Michael,K,Thomas,771351532,9915 Main St,Suite 496,Los Angeles,WA,86791,Existing,M1,89,CID-138017,Individual,NOTIF-1029,Bankruptcy,23-98046,7,13,2021-10-19,,Closed,2021-10-03,613751349,William,J,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,983747090,Robert,E,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-12-28,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2024-12-28,
